x;y;kn;p;m;grainMass
1,4855;182,1508;159,2591;19,0744;0,1608;119,7056
1,4933;182,7771;159,7737;19,135;0,1613;118,4318
1,5012;183,4034;160,2883;19,1956;0,1618;117,1539
1,509;184,0296;160,803;19,2562;0,1623;115,872
1,5169;184,6558;161,3176;19,3168;0,1628;114,5859
1,5248;185,2819;161,8322;19,3774;0,1633;113,2957
1,5326;185,908;162,3468;19,4379;0,1638;112,0014
1,5405;186,534;162,8614;19,4985;0,1644;110,703
1,5483;187,16;163,376;19,559;0,1649;109,4005
1,5562;187,7859;163,8907;19,6196;0,1654;108,0938
1,5641;188,4118;164,4053;19,6802;0,1659;106,7831
1,5719;189,0377;164,9199;19,7407;0,1664;105,4682
1,5798;189,6635;165,4345;19,8012;0,1669;104,1493
1,5877;190,2892;165,9491;19,8618;0,1674;102,8262
1,5955;190,915;166,4638;19,9223;0,1679;101,499
1,6034;191,5406;166,9784;19,9829;0,1684;100,1678
1,6112;192,1663;167,493;20,0434;0,1689;98,8324
1,6191;192,7918;168,0076;20,1039;0,1695;97,4929
1,627;193,4174;168,5222;20,1644;0,17;96,1492
1,6348;194,0429;169,0368;20,2249;0,1705;94,8015
1,6427;194,6683;169,5515;20,2854;0,171;93,4497
1,6506;195,2937;170,0661;20,3459;0,1715;92,0938
1,6584;195,9191;170,5807;20,4064;0,172;90,7337
1,6663;196,5444;171,0953;20,4669;0,1725;89,3695
1,6742;197,1697;171,6099;20,5274;0,173;88,0013
1,682;197,7949;172,1245;20,5879;0,1735;86,6289
1,6899;198,4201;172,6392;20,6484;0,1741;85,2524
1,6978;199,0452;173,1538;20,7089;0,1746;83,8718
1,7056;199,6703;173,6684;20,7694;0,1751;82,4871
1,7135;200,2953;174,183;20,8298;0,1756;81,0983
1,7214;200,9203;174,6976;20,8903;0,1761;79,7054
1,7292;201,5453;175,2123;20,9507;0,1766;78,3083
1,7371;202,1702;175,7269;21,0112;0,1771;76,9072
1,745;202,7951;176,2415;21,0717;0,1776;75,5019
1,7528;203,4199;176,7561;21,1321;0,1781;74,0926
1,7607;204,0447;177,2707;21,1926;0,1786;72,6791
1,7686;204,6695;177,7853;21,253;0,1792;71,2615
1,7764;205,2942;178,3;21,3134;0,1797;69,8398
1,7843;205,9188;178,8146;21,3739;0,1802;68,414
